0,1
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000002.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000004.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000013.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000022_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000026_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000029_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000030_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000031_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000035_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000036_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000040_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000043_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000046_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000049_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000054_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000056_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000074.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000077_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000078_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000139_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000140_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000141_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000142_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000143_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000145_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000146_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000147_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000148_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000149_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000150_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000151_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000152_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000153_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000154_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000155_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000156_downsampled.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000157.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000159.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000160.jpg,MEL
ISIC_2019_Training_Input/ISIC_2019_Training_Input/ISIC_0000161.jpg,MEL
